author_did,author_handle,author_display_name,created_at,text,langs,cid,indexed_at,like_count,reply_count,repost_count,prob_toxic,label_toxic
did:plc:64mdicpo7sq4k5bx2z3m2jo6,catbus.bsky.social,Catbus ,2024-02-01T04:27:55.965Z,"'The Revenant' (2015)
dir: Alejandro G. Iñárritu
#oneperfectshot 📽️",['en'],bafyreifef3pzynne4jpuec76hn3pkr6uzg3cn5ixfpw4h7zjv75oginkxa,2024-02-01T04:27:55.965Z,408,6,82,0.009487377,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:17:02.729Z,"change in the technical system, team still deciding if it's worth the dev cost to make chronological",['en'],bafyreidxtew236raexi4kfjx7wrveo53jvs65rrukoc4o3bmger4dwg35a,2024-02-01T06:17:02.729Z,4,4,0,0.017466826,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:16:27.684Z,me nose!,['en'],bafyreih7ft3f5cd6gbkcb2wyhredofnpjphun4hffvm3cbews6r7rocnmm,2024-02-01T06:16:27.684Z,4,0,0,0.17285149,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:16:13.494Z,cant youre stuck now,['en'],bafyreibpnoymyhmv3vwrqmaxd4e2e7dq66ahjfq7jnbfnnnaasudpqf5bm,2024-02-01T06:16:13.494Z,10,2,0,0.20172562,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:10:17.364Z,bowmp,['en'],bafyreicn3a3o35am5ess34sh6sh6wb5touhrnffwzsdgcxuknj6knpskoq,2024-02-01T06:10:17.364Z,3,0,0,0.042657252,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:09:24.512Z,(rotate-text.com),['en'],bafyreihoxg7kaflid4htze6miarmwvbhh46vufxvzmaunaj6gyeci5k4ty,2024-02-01T06:09:24.512Z,10,0,0,0.013634177,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:08:41.250Z,ǝdʎʇ noʎ uǝɥʍ uʍop ǝpᴉsdn ʞuᴉɥʇ oʇ ǝʌɐɥ noʎ,['en'],bafyreidiqmm64tudi2rlbjgvpt2v7mvtqugho2bj42lcuhfm5nbcegbsge,2024-02-01T06:08:41.250Z,14,5,1,0.19939905,0
did:plc:bd6ox3i7gs7yh7afxrlibi7a,jjinandtonic.bsky.social,Jjinandtonic,2024-02-01T02:25:47.283Z,New D&D subclasses just dropped,['en'],bafyreierawcdfjz3jly6fwawdzggwlazfwh6np6msg6ss4qd35y2dimizq,2024-02-01T02:25:47.283Z,904,22,226,0.032627538,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:03:18.515Z,sɹoʇɐʇoɹ pɹoʍ ʇnoqɐ ʇɐɥʍ,['en'],bafyreiguejqhhie3bkxo2noalr3trzstrwkhk3el2or7uzqavosmat7wa4,2024-02-01T06:03:18.515Z,21,4,1,0.17631748,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T06:01:03.291Z,yep,['en'],bafyreih43zjmklfafsud5wddjy2ise4q6usn5bryr3bc3x7bmif4xeomt4,2024-02-01T06:01:03.291Z,1,2,0,0.015079274,0
